
signal (15): Terminated: 15
in expression starting at /Users/bethleelindor/work/washington/ttv_project/ttv_ss/full_run.jl:70
calc_lprior at /Users/bethleelindor/work/washington/ttv_project/ttv_ss/MCMC.jl:0
MCMC at /Users/bethleelindor/work/washington/ttv_project/ttv_ss/MCMC.jl:114
p4_mcmc at ./util.jl:155
unknown function (ip: 0x15115f70c)
jl_apply at /Users/bethleelindor/julia/src/./julia.h:1631 [inlined]
do_call at /Users/bethleelindor/julia/src/interpreter.c:328
eval_stmt_value at /Users/bethleelindor/julia/src/interpreter.c:368 [inlined]
eval_body at /Users/bethleelindor/julia/src/interpreter.c:764
jl_interpret_toplevel_thunk_callback at /Users/bethleelindor/julia/src/interpreter.c:888
unknown function (ip: 0xfffffffffffffffe)
unknown function (ip: 0x120b4150f)
unknown function (ip: 0x61)
jl_interpret_toplevel_thunk at /Users/bethleelindor/julia/src/interpreter.c:897
jl_toplevel_eval_flex at /Users/bethleelindor/julia/src/toplevel.c:814
jl_parse_eval_all at /Users/bethleelindor/julia/src/ast.c:873
jl_load at /Users/bethleelindor/julia/src/toplevel.c:878 [inlined]
jl_load_ at /Users/bethleelindor/julia/src/toplevel.c:885
include at ./boot.jl:328 [inlined]
include_relative at ./loading.jl:1105
include at ./Base.jl:31
exec_options at ./client.jl:287
_start at ./client.jl:460
jfptr__start_2084 at /Users/bethleelindor/julia/usr/lib/julia/sys.dylib (unknown line)
true_main at /Users/bethleelindor/julia/julia (unknown line)
main at /Users/bethleelindor/julia/julia (unknown line)
unknown function (ip: 0xffffffffffffffff)
Allocations: 1401160122 (Pool: 1400902707; Big: 257415); GC: 2541
args = ["full", "30.0", "20.0", "pppp"]
Period: 547.8749999999998 log Prob: -189.47332804757758 Param: [1.609486675549638e-9, 224.69652686900523, 2.4335038383885594e6, -10.765581265092322, -0.743941212450385, 4.458011005943393e-9, 365.2598409820985, 2.433623893089081e6, 0.032915219468106764, -0.004847853809778248, 1.5528365900985875e-8, 547.8749999999998, 2.4373894518694654e6, 0.009406396651590862, 0.009614676035762661, 0.0038538173251333498, 53512.99431109168, 2.709920699501209e6, 93.61193269149724, -81.7292953963719]
Period: 554.57857456046 log Prob: -115.89463103719405 Param: [5.103610993560517e-6, 224.70077445461666, 2.433503768789374e6, 0.015599055420249032, 0.005336511515479712, 3.017638316452643e-6, 365.2562836523834, 2.4336244095201166e6, 0.031246228778936066, 0.004671110543965864, 3.569874197475928e-7, 554.57857456046, 2.43732052779632e6, 0.03054991933812201, 0.0026983500255161872, 0.001430282626743229, 5202.556347235211, 2.439552155220144e6, 0.02954277600100712, -0.02055344370845129]
Period: 561.3641713192087 log Prob: -116.80150430532629 Param: [5.0832372605214165e-6, 224.7007745673487, 2.433503768794911e6, 0.016082140229742126, 0.0069405613185997955, 3.0188368319760997e-6, 365.25631576141836, 2.4336244090061686e6, 0.03164861480104705, 0.005535772420307156, 3.231280444606089e-7, 561.3641713192087, 2.437317446532776e6, 0.03395795763498423, 0.0021447101972286134, 0.001404170045336977, 5194.951601061866, 2.4395539525779216e6, 0.027912806506180887, -0.015190436352835585]
Period: 568.2327938663394 log Prob: -117.95988795661043 Param: [5.041324964695314e-6, 224.70077371488063, 2.4335037688332265e6, 0.019029655943009694, 0.0012974018287813195, 3.0350228828268278e-6, 365.25633026580994, 2.4336244087876338e6, 0.033266796475682404, 0.0006070579240599793, 2.5295741174547194e-7, 568.2327938663394, 2.4373321839156663e6, 0.022804177238391742, -0.0005112961932564703, 0.0013065197715606536, 5253.135247993571, 2.4396769757163585e6, 0.018353373017232787, 0.004966035473302635]
Period: 575.1854580714615 log Prob: -116.69661262655013 Param: [5.079661782660633e-6, 224.7007722083668, 2.433503768835755e6, 0.03358356265360068, -0.017578425608807104, 3.0794869928875073e-6, 365.2563588726294, 2.433624408520887e6, 0.04136855263145662, -0.01269704574451568, 5.627892412963853e-7, 575.1854580714615, 2.4374136100422125e6, 0.05456912399595334, -0.0015956649621607815, 0.000873555555716869, 5305.6142943479135, 2.439767415998209e6, -0.011294134598772392, -0.013534981225136803]
Period: 582.2231922339521 log Prob: -111.15550018247562 Param: [5.059413397185962e-6, 224.7007680226803, 2.433503768902817e6, 0.0476552803139394, -0.02224143023789198, 3.0307948934834206e-6, 365.2563310325083, 2.4336244088004422e6, 0.0488152533880585, -0.015124598661475433, 1.0979075009344897e-6, 582.2231922339521, 2.437417028048953e6, 0.06972640151251847, -0.013003050999960521, 0.0008599835743450066, 5315.063996143365, 2.4398261507284967e6, -0.03652198959802551, -0.01260071417713091]
Period: 589.3470372350371 log Prob: -110.21641043006566 Param: [4.616302484131141e-6, 224.70077085183425, 2.4335037688834844e6, 0.006628057607355078, -0.01939964568079182, 2.9146642652008316e-6, 365.25632470544224, 2.4336244088100735e6, 0.019852325298213555, -0.013697951459870947, 6.407956361711663e-7, 589.3470372350371, 2.437423130425966e6, -0.009779912655755953, -0.02959552207581197, 0.0019667195514914714, 5212.516590626903, 2.440145870940668e6, 0.04866208763777276, 0.017487239718222667]
Period: 596.5580466917398 log Prob: -114.01355993923534 Param: [5.286955356240371e-6, 224.7007733357307, 2.43350376883136e6, 0.006230740770626981, -0.007438882176464485, 2.9467638129882743e-6, 365.25630133668744, 2.4336244091014187e6, 0.022447179189545856, -0.005018065786125711, 4.506435541777101e-7, 596.5580466917398, 2.4371121496635233e6, 0.09140833836560319, -0.009453585282933687, 0.0017191235349986109, 5426.285134167511, 2.439898251323287e6, 0.04412865655677084, 0.003833764829041852]
Period: 603.8572871127128 log Prob: -115.85722202953976 Param: [5.292825503225208e-6, 224.7007751420663, 2.433503768784382e6, 0.004576836663847387, -0.0022938338525255943, 2.9414670862813754e-6, 365.25628353951373, 2.4336244096452873e6, 0.022409901270625525, -0.0013225819093152398, 4.759096859493949e-7, 603.8572871127128, 2.437105368730394e6, 0.04922912024708263, 0.027654586065541883, 0.002042109484350868, 5237.280079739117, 2.439663600578618e6, 0.052601999037651455, -0.009840456276391421]
Period: 611.2458380559699 log Prob: -114.49589548252 Param: [5.2459893199844e-6, 224.70077647800127, 2.433503768759902e6, 0.005222864555241314, -0.0020109945683817153, 2.9562147151627073e-6, 365.2565358045297, 2.4336244082947597e6, 0.02240914749425937, -0.0007754202153253816, 8.988789552388169e-7, 611.2458380559699, 2.436962172863633e6, -0.03418628001690789, -0.03846265143022383, 0.0019742440280068104, 5088.47275274987, 2.439579872552044e6, 0.05220912905310283, -0.011890299920344422]
